symbol,side,type,quantity,limit_price
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
ETH,BUY,MARKET,50,0
